Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
HORN-ISLAND,27058,-10.58,142.29,January,31.67,Summer
INVERELL-RAGLAN-ST,56242,-29.78,151.11,January,31.95,Summer
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,January,24.88,Summer
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,January,35.22,Summer
KALUMBURU,1019,-14.3,126.65,January,36.0,Summer
KATANNING-COMPARISON,10579,-33.69,117.56,January,31.19,Summer
KERANG,80023,-35.72,143.92,January,35.54,Summer
KYANCUTTA,18044,-33.13,135.56,January,33.68,Summer
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,January,23.1,Summer
LAUNCESTON-AIRPORT,91311,-41.55,147.21,January,25.26,Summer
LAVERTON-RAAF,87031,-37.86,144.76,January,25.94,Summer
LEARMONTH-AIRPORT,5007,-22.24,114.1,January,39.17,Summer
LONGREACH-AERO,36031,-23.44,144.28,January,38.71,Summer
LOW-HEAD,91293,-41.06,146.79,January,22.07,Summer
MACKAY-M.O,33119,-21.12,149.22,January,31.12,Summer
MARBLE-BAR,4106,-21.18,119.75,January,41.49,Summer
MARREE,17031,-29.65,138.06,January,41.76,Summer
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,January,39.11,Summer
MELBOURNE-REGIONAL-OFFICE,86071,-37.81,144.97,January,28.02,Summer
MERREDIN,10092,-31.48,118.28,January,35.31,Summer
MILDURA-AIRPORT,76031,-34.24,142.09,January,34.83,Summer
MILES-CONSTANCE-STREET,42112,-26.66,150.18,January,35.22,Summer
MORAWA-AIRPORT,8296,-29.2,116.02,January,40.52,Summer
MOREE-AERO,53115,-29.49,149.85,January,34.61,Summer
MORUYA-HEADS-PILOT-STATION,69018,-35.91,150.15,January,24.84,Summer
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,January,27.86,Summer
NHILL-AERODROME,78015,-36.31,141.65,January,32.35,Summer
NORMANTON-AIRPORT,29063,-17.69,141.07,January,36.5,Summer
NORTH-SHIELDS-PORT-LINCOLN-AWS,18192,-34.6,135.88,January,26.26,Summer
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,January,28.68,Summer
NURIOOTPA-VITICULTURAL,23373,-34.48,139.01,January,30.77,Summer
OODNADATTA-AIRPORT,17043,-27.56,135.45,January,38.74,Summer
ORBOST,84145,-37.69,148.47,January,26.37,Summer
PALMERVILLE,28004,-16.0,144.08,January,34.61,Summer
PERTH-AIRPORT,9021,-31.93,115.98,January,33.76,Summer
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,January,37.48,Summer
PORT-MACQUARIE-AIRPORT-AWS,60139,-31.43,152.87,January,28.7,Summer
